"","Index_No","Mid_34","Mid_20","Final_80","Marks_1","Marks_2","Grand_Final","Lec_1","Lec_2","Lec_3","Lec_4","Lec_5","Lec_6","Lec_7","Total_Attendance"
"195","A195",25,14.70588235,48,62.70588235,60,63,1,0,1,1,1,0,0,4
"196","A196",19,11.17647059,50,61.17647059,62.5,63,1,1,1,1,1,1,1,7
"197","A197",18,10.58823529,50,60.58823529,62.5,63,1,1,1,1,1,1,1,7
"198","A198",17,10,50,60,62.5,63,1,1,1,1,0,1,1,6
"199","A199",20,11.76470588,51,62.76470588,63.75,64,1,0,0,0,1,1,0,3
"200","A200",22,12.94117647,51,63.94117647,63.75,64,1,0,0,0,0,0,0,1
"201","A201",21,12.35294118,51,63.35294118,63.75,64,0,1,1,0,1,1,1,5
"202","A202",0,0,51,51,63.75,64,1,0,1,0,0,0,0,2
"203","A203",23,13.52941176,50,63.52941176,62.5,64,1,0,0,1,1,0,0,3
"204","A204",18,10.58823529,51,61.58823529,63.75,64,1,0,1,0,1,1,0,4
"205","A205",31,18.23529412,46,64.23529412,57.5,64,1,1,1,1,0,0,0,4
"206","A206",21,12.35294118,51,63.35294118,63.75,64,1,0,1,1,1,0,0,4
"207","A207",29,17.05882353,47,64.05882353,58.75,64,1,1,1,1,0,0,0,4
"208","A208",27,15.88235294,49,64.88235294,61.25,65,1,1,0,0,0,0,0,2
"209","A209",25,14.70588235,50,64.70588235,62.5,65,0,1,0,1,0,0,0,2
"210","A210",12,7.058823529,52,59.05882353,65,65,1,1,0,1,1,1,0,5
"211","A211",22,12.94117647,52,64.94117647,65,65,1,1,0,0,0,0,0,2
"212","A212",19,11.17647059,52,63.17647059,65,65,1,1,1,1,1,0,1,6
"213","A213",27,15.88235294,49,64.88235294,61.25,65,1,0,0,0,0,0,0,1
"214","A214",25,14.70588235,50,64.70588235,62.5,65,1,0,0,1,1,1,1,5
"215","A215",29,17.05882353,49,66.05882353,61.25,66,0,0,0,0,1,0,0,1
"216","A216",20,11.76470588,53,64.76470588,66.25,66,1,1,1,1,1,1,0,6
"217","A217",28,16.47058824,50,66.47058824,62.5,66,1,1,1,1,1,1,1,7
"218","A218",14,8.235294118,53,61.23529412,66.25,66,1,0,0,0,0,1,0,2
"219","A219",26,15.29411765,51,66.29411765,63.75,66,1,0,1,1,0,1,0,4
"220","A220",23,13.52941176,52,65.52941176,65,66,1,1,1,0,1,0,0,4
"221","A221",23,13.52941176,52,65.52941176,65,66,1,1,1,0,1,0,0,4
"222","A222",28,16.47058824,51,67.47058824,63.75,67,0,0,0,0,0,0,0,0
"223","A223",26,15.29411765,53,68.29411765,66.25,68,1,0,0,0,0,0,0,1
"224","A224",18,10.58823529,54,64.58823529,67.5,68,1,1,1,1,1,1,1,7
"225","A225",28,16.47058824,52,68.47058824,65,68,1,1,1,0,1,0,0,4
"226","A226",23,13.52941176,54,67.52941176,67.5,68,1,0,1,0,0,0,0,2
"227","A227",31,18.23529412,50,68.23529412,62.5,68,1,1,1,1,1,1,1,7
"228","A228",24,14.11764706,55,69.11764706,68.75,69,1,0,1,1,1,0,0,4
"229","A229",28,16.47058824,53,69.47058824,66.25,69,1,1,1,1,0,1,1,6
"230","A230",31,18.23529412,51,69.23529412,63.75,69,1,1,1,0,0,0,0,3
"231","A231",25,14.70588235,54,68.70588235,67.5,69,1,1,1,1,1,0,0,5
"232","A232",29,17.05882353,52,69.05882353,65,69,1,1,1,1,1,0,0,5
"233","A233",21,12.35294118,55,67.35294118,68.75,69,0,1,1,1,0,0,0,3
"234","A234",19,11.17647059,55,66.17647059,68.75,69,1,0,0,0,1,0,0,2
"235","A235",22,12.94117647,55,67.94117647,68.75,69,1,1,1,1,1,1,1,7
"236","A236",20,11.76470588,55,66.76470588,68.75,69,1,1,1,1,1,0,0,5
"237","A237",25,14.70588235,54,68.70588235,67.5,69,1,0,0,0,0,0,0,1
"238","A238",25,14.70588235,55,69.70588235,68.75,70,1,1,1,1,1,0,0,5
"239","A239",19,11.17647059,56,67.17647059,70,70,1,1,1,1,1,1,1,7
"240","A240",25,14.70588235,55,69.70588235,68.75,70,1,1,1,1,1,0,0,5
"241","A241",25,14.70588235,55,69.70588235,68.75,70,0,0,1,1,1,0,0,3
"242","A242",16,9.411764706,56,65.41176471,70,70,0,0,0,1,1,1,1,4
"243","A243",26,15.29411765,55,70.29411765,68.75,70,1,1,1,1,1,0,0,5
"244","A244",25,14.70588235,56,70.70588235,70,71,1,0,0,1,1,1,0,4
"245","A245",19,11.17647059,57,68.17647059,71.25,71,1,1,1,1,1,0,0,5
"246","A246",25,14.70588235,56,70.70588235,70,71,1,1,1,0,1,0,0,4
"247","A247",19,11.17647059,57,68.17647059,71.25,71,1,0,0,0,0,0,0,1
"248","A248",25,14.70588235,57,71.70588235,71.25,72,1,0,0,0,0,0,0,1
"249","A249",25,14.70588235,58,72.70588235,72.5,73,1,1,1,0,1,0,0,4
"250","A250",26,15.29411765,58,73.29411765,72.5,73,1,1,1,0,1,0,1,5
"251","A251",31,18.23529412,55,73.23529412,68.75,73,1,0,1,1,0,1,0,4
"252","A252",31,18.23529412,56,74.23529412,70,74,1,1,0,1,1,1,0,5
"253","A253",25,14.70588235,59,73.70588235,73.75,74,1,1,0,1,1,0,0,4
"254","A254",15,8.823529412,59,67.82352941,73.75,74,0,1,1,1,1,0,0,4
"255","A255",28,16.47058824,58,74.47058824,72.5,74,1,1,1,1,0,0,0,4
"256","A256",25,14.70588235,59,73.70588235,73.75,74,1,1,1,0,0,0,0,3
"257","A257",26,15.29411765,60,75.29411765,75,75,0,1,1,1,1,0,0,4
"258","A258",31,18.23529412,57,75.23529412,71.25,75,1,1,0,1,1,0,0,4
"259","A259",2,1.176470588,60,61.17647059,75,75,0,0,0,0,0,0,0,0
"260","A260",32,18.82352941,56,74.82352941,70,75,1,1,1,1,1,1,1,7
"261","A261",21,12.35294118,61,73.35294118,76.25,76,1,1,1,1,1,0,0,5
"262","A262",24,14.11764706,61,75.11764706,76.25,76,1,1,1,1,0,0,0,4
"263","A263",17,10,61,71,76.25,76,1,0,1,1,0,0,0,3
"264","A264",20,11.76470588,61,72.76470588,76.25,76,1,1,1,1,1,0,0,5
"265","A265",13,7.647058824,61,68.64705882,76.25,76,0,1,0,0,0,0,0,1
"266","A266",32,18.82352941,57,75.82352941,71.25,76,1,1,1,1,1,0,0,5
"267","A267",30,17.64705882,58,75.64705882,72.5,76,1,1,1,1,0,0,0,4
"268","A268",24,14.11764706,61,75.11764706,76.25,76,1,1,1,1,0,0,0,4
"269","A269",29,17.05882353,59,76.05882353,73.75,76,1,1,1,1,1,0,0,5
"270","A270",29,17.05882353,59,76.05882353,73.75,76,0,0,1,1,1,0,0,3
